DATE,SPDYNIMRTINUSA
1960-01-01,25.9
1961-01-01,25.4
1962-01-01,24.9
1963-01-01,24.4
1964-01-01,23.8
1965-01-01,23.3
1966-01-01,22.7
1967-01-01,22
1968-01-01,21.3
1969-01-01,20.6
1970-01-01,19.9
1971-01-01,19.1
1972-01-01,18.3
1973-01-01,17.5
1974-01-01,16.7
1975-01-01,15.9
1976-01-01,15.2
1977-01-01,14.5
1978-01-01,13.8
1979-01-01,13.2
1980-01-01,12.6
1981-01-01,12.1
1982-01-01,11.6
1983-01-01,11.3
1984-01-01,10.9
1985-01-01,10.6
1986-01-01,10.4
1987-01-01,10.2
1988-01-01,9.9
1989-01-01,9.7
1990-01-01,9.4
1991-01-01,9.1
1992-01-01,8.8
1993-01-01,8.5
1994-01-01,8.2
1995-01-01,7.9
1996-01-01,7.7
1997-01-01,7.5
1998-01-01,7.3
1999-01-01,7.2
2000-01-01,7.1
2001-01-01,7
2002-01-01,6.9
2003-01-01,6.9
2004-01-01,6.8
2005-01-01,6.7
2006-01-01,6.7
2007-01-01,6.6
2008-01-01,6.5
2009-01-01,6.4
2010-01-01,6.2
2011-01-01,6.1
2012-01-01,6.0
2013-01-01,6.0
2014-01-01,5.9
2015-01-01,5.8
2016-01-01,5.8
2017-01-01,5.7
2018-01-01,5.6
